id,name,aliases,category,bullet_diameter_mm,bullet_diameter_in,case_length_mm,rim_diameter_mm,rim_type,base_diameter_mm,shoulder_diameter_mm,neck_diameter_mm,max_pressure_bar,case_volume_cm3,primer_type,intro_year,origin_country,description,wiki_url,data_note
17_hmr,.17 Hornady Magnum Rimfire,.17 Hornady Magnum Rimfire,Rimfire,4.38,0.172,26.8,7.4,Rimmed,6.13,5.7,4.8,1800,0.65,Rimfire,2002,États-Unis,Obtenu en rétreignant un étui de .22 WMR au calibre .17. Vitesse de sortie exceptionnelle pour un calibre à percussion annulaire (plus de 770 m/s).,,
204_ruger,.204 Ruger,204 Ruger|.204 Ruger,Rifle,5.18,0.204,47,9.6,Rimmed,9.56,9.14,5.87,3964,1.853,Small Rifle,2004,États-Unis,Développé en partenariat avec Hornady et Ruger. Un calibre 'varmint' (petite nuisible) tirant à très haute vélocité (1280 m/s) à trajectoire ultra-tendue.,,
22_creedmoor,.22 Creedmoor,22 Creedmoor,Rifle,5.7,0.224,49,12.01,Rimless,11.95,11.73,6.3,4275,3.059,Small Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
22_hornet,.22 Hornet,22 Hornet|.22 Hornet,Rifle,5.7,0.224,35.56,8.9,Rimmed,7.6,7,6.2,3200,0.665,Small Rifle,1930,États-Unis,Un des plus petits calibres de carabine de chasse à percussion centrale. Idéal pour les renards et le tir nuisible silencieux à 100-150m.,,
22_lr,.22 Long Rifle,.22 Long Rifle,Rimfire,5.72,0.225,15.57,7.06,Rimmed,5.74,,5.72,1700,0.36,Rimfire,1887,États-Unis,"Le calibre à percussion annulaire le plus populaire au monde. Utilisé pour le tir de loisir, la compétition (pistolet et carabine à 50m) et l'initiation.",,
22_nosler,.22 Nosler,22 Nosler,Rifle,5.69,0.224,44.7,9.6,Rebated,10.69,10.2,6.5,3792,2.107,Small Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rebated, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
22_ppcusa,.22 PPC-USA,22 PPC|22 PPC-USA,Rifle,5.69,0.224,38.5,11.3,Rimless,11.2,10.95,6.3,,2.048,Small Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
22_wmr,.22 Winchester Magnum Rimfire,.22 Winchester Magnum Rimfire,Rimfire,5.69,0.224,26.8,7.4,Rimmed,6.13,,6.1,1610,0.7,Rimfire,1959,États-Unis,"Une version allongée et plus puissante du .22 LR, offrant une trajectoire plus tendue et une plus grande portée pour la petite chasse ou le tir récréatif.",,
22_250_rem,.22-250 Remington,22-250 Rem.|.22-250 Remington,Rifle,5.7,0.224,48.56,12,Rimmed,11.9,10.5,6.5,4050,2.736,Large Rifle Magnum,1937,États-Unis,Calibre de chasse varmint ultra-rapide capable de dépasser les 1200 m/s avec un projectile léger. Très apprécié pour le tir de régulation.,,
220_swift,.220 Swift,220 Swift|.220 Swift,Rifle,5.69,0.224,56.13,5.69,Rimless,5.69,,5.69,4500,2.59,Small Rifle,1935,États-Unis,Calibre pionnier de la très haute vélocité (dépassant 1200 m/s). Réputé exigeant pour les canons.,,
